pulse_year,discount_rate,eta,rho,scghg_certainty_equivalent
2020,1.5% Ramsey,1.016010255,9.149608e-05,334.1979159996287
2020,2.0% Ramsey,1.244459066,0.00197263997,190.96652939444022
2020,2.5% Ramsey,1.421158116,0.00461878399,108.57047333286107
2030,1.5% Ramsey,1.016010255,9.149608e-05,386.7912205559216
2030,2.0% Ramsey,1.244459066,0.00197263997,232.87878334893185
2030,2.5% Ramsey,1.421158116,0.00461878399,140.06157042025905
2040,1.5% Ramsey,1.016010255,9.149608e-05,438.8167069433409
2040,2.0% Ramsey,1.244459066,0.00197263997,275.8214804826873
2040,2.5% Ramsey,1.421158116,0.00461878399,173.29455905199006
2050,1.5% Ramsey,1.016010255,9.149608e-05,496.857088581785
2050,2.0% Ramsey,1.244459066,0.00197263997,324.533679517458
2050,2.5% Ramsey,1.421158116,0.00461878399,211.41466725066184
2060,1.5% Ramsey,1.016010255,9.149608e-05,549.8493530307144
2060,2.0% Ramsey,1.244459066,0.00197263997,369.7441291773902
2060,2.5% Ramsey,1.421158116,0.00461878399,247.3664649113385
2070,1.5% Ramsey,1.016010255,9.149608e-05,595.7954733042451
2070,2.0% Ramsey,1.244459066,0.00197263997,409.6047144788548
2070,2.5% Ramsey,1.421158116,0.00461878399,279.64042671317225
2080,1.5% Ramsey,1.016010255,9.149608e-05,641.8233779789857
2080,2.0% Ramsey,1.244459066,0.00197263997,451.8491153728951
2080,2.5% Ramsey,1.421158116,0.00461878399,315.45510429651125
